"family_name","last_name","first_name","congregation","status","gender","age_bracket","email","mobile_tel","work_tel","home_tel","address_street","address_suburb","address_state","address_postcode","note"
"FirstSingle","First","Joane ","10am","core","male","adult","Joane@gmail.com","0418649196","9799 6548",,"1 Rieffenberger St","Tamondong ","NSW","2132","ROW 2 - Joane  First belongs to family FirstSingle"
,"First","Clemencia ","10am","crowd","female","adult","Clemencia@gmail.com","0416050726","9799 8252","9798-1234",,,,,"ROW 3 - Clemencia  First belongs to family "
,"First","Hal ","6pm","contact","male","high school","Hal@gmail.com","0411534125","9799 2431",,,,,,"ROW 4 - Hal  First belongs to family "
,"First","Deonna ","6pm","core","female","elementary school","Deonna@gmail.com","0415335666","9799 5441",,,,,,"ROW 5 - Deonna  First belongs to family "
"SecondSingle","SecondSingle","Sadye ","10am","crowd","male","adult","Sadye@gmail.com","0414504774","9799 7801",,,,,,"ROW 6 - Sadye  SecondSingle belongs to family SecondSingle"
,"Secondo","Blondell ","10am","contact","female","adult","Blondell@gmail.com","0415680175","9799 1086",,,,,,"ROW 7 - Blondell  Secondo belongs to family "
"SecondSingle","SecondSingle","Tari ","6pm","core","male","high school","Tari@gmail.com","0416260145","9799 9987",,,,,,"ROW 8 - Tari  SecondSingle belongs to family SecondSingle"
,"SecondSingle","Rod ","6pm","crowd","female","elementary school","Rod@gmail.com","0411667589","9799 2643",,,,,,"ROW 9 - Rod  SecondSingle belongs to family "
"ThirdQuad","ThirdQuad","Raphael ","10am","contact","male","adult","Raphael@gmail.com","0416914984","9799 8679","9798-4567","2 Sauerwein Cl","Scavone ","NSW","2132","ROW 10 - Raphael  ThirdQuad belongs to family ThirdQuad"
"ThirdQuad","ThirdQuad","Agripina ","10am","core","female","adult","Agripina@gmail.com","0417429578","9799 3544",,,,,,"ROW 11 - Agripina  ThirdQuad belongs to family ThirdQuad"
"ThirdQuad","ThirdQuad","Brittanie ","6pm","crowd","male","high school","Brittanie@gmail.com","0412653646","9799 9671",,,,,,"ROW 12 - Brittanie  ThirdQuad belongs to family ThirdQuad"
"ThirdQuad","ThirdQuad","Leena ","6pm","contact","female","elementary school","Leena@gmail.com","0419640950","9799 1096",,,,,,"ROW 13 - Leena  ThirdQuad belongs to family ThirdQuad"
"ThirdQuad","ThirdQuad","Thaddeus ","10am","core","male","adult","Thaddeus@gmail.com","0419359917","9799 8210",,"3 Dodridge Rd","Vangrouw ","NSW","2132","ROW 14 - Thaddeus  ThirdQuad belongs to family ThirdQuad"
"ThirdQuad","ThirdQuad","Lianne ","10am","crowd","female","adult","Lianne@gmail.com","0414631185","9799 1882",,,,,,"ROW 15 - Lianne  ThirdQuad belongs to family ThirdQuad"
"ThirdQuad","ThirdQuad","Keren ","6pm","contact","male","high school","Keren@gmail.com","0417721733","9799 3861",,,,,,"ROW 16 - Keren  ThirdQuad belongs to family ThirdQuad"
"ThirdQuad","ThirdQuad","Shakia ","6pm","core","female","elementary school","Shakia@gmail.com","0414331163","9799 4823",,,,,,"ROW 17 - Shakia  ThirdQuad belongs to family ThirdQuad"
,,,,,,,,,,,,,,,
"ThirdQuad","ThirdQuad","Darius ","10am","crowd","male","adult","Darius@gmail.com","0417867946","9799 3304","9798 7777",,,,,"ROW 19 - Darius  ThirdQuad belongs to family ThirdQuad"
"ThirdQuad","ThirdQuad","Brain ","6pm","contact","female","high school","Brain@gmail.com","0416890570","9799 1553",,,,,,"ROW 20 - Brain  ThirdQuad belongs to family ThirdQuad"
"ThirdQuad","ThirdQuad","Georgeann ","6pm","core","male","elementary school","Georgeann@gmail.com","0419370225","9799 7949",,,,,,"ROW 21 - Georgeann  ThirdQuad belongs to family ThirdQuad"
"ThirdQuad","ThirdQuad","Fidel ","10am","crowd","female","adult","Fidel@gmail.com","0413354329","9799 2260",,,,,,"ROW 22 - Fidel  ThirdQuad belongs to family ThirdQuad"
"ThirdQuad","ThirdQuad","Quinton ","10am","contact","male","adult","Quinton@gmail.com","0411329590","9799 5804","9798 8888",,,,,"ROW 23 - Quinton  ThirdQuad belongs to family ThirdQuad"
"ThirdQuad","ThirdQuad","Ela ","6pm","core","female","high school","Ela@gmail.com","0417342773","9799 9663",,,,,,"ROW 24 - Ela  ThirdQuad belongs to family ThirdQuad"
"ThirdQuad","ThirdQuad","Dane ","6pm","crowd","male","elementary school","Dane@gmail.com","0419495822","9799 9463",,,,,,"ROW 25 - Dane  ThirdQuad belongs to family ThirdQuad"
"ThirdQuad","ThirdQuad","Marcel ","10am","contact","female","adult","Marcel@gmail.com","0411345866","9799 3267",,,,,,"ROW 26 - Marcel  ThirdQuad belongs to family ThirdQuad"
"ThirdQuad","ThirdQuad","Elinore ","10am","core","male","adult","Elinore@gmail.com","0416252549","9799 6666",,,,,,"ROW 27 - Elinore  ThirdQuad belongs to family ThirdQuad"
"Problem","Problemo","Ileen ","6pm","crowd","female","high school","Ileen@gmail.com","0418798393","9799 9554",,"4 Jeziorski Dr","Realbuto ","NSW","2311","ROW 28 - Ileen  Problemo belongs to family Problem"
